ticker,final_score,trade_action,raw_score,options_score,ivp,vrp,ivp_score,vrp_score,phi_score,psi_score,si_avoidance_score,put_skew_penalty,scoring_date,signal_version,regime,regime_gate
BHVN,19.965,WATCH,39.93,39.93,32.20338983050847,21.785510968772883,30.36,39.93,30.36,39.93,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BIIB,9.68,AVOID,19.36,19.36,37.28813559322034,-12.866978388308556,35.71,19.36,35.71,19.36,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BIOA,31.1,BUY,62.2,62.2,55.932203389830505,59.29666146136805,55.36,62.2,55.36,62.2,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BLTE,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BMRN,15.965,WATCH,31.93,31.93,49.15254237288136,8.30629850638903,48.21,31.93,48.21,31.93,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BMY,13.125,AVOID,26.25,26.25,45.76271186440678,-1.2618803302747956,44.64,26.25,44.64,26.25,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BNTC,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BNTX,13.51,AVOID,27.02,27.02,47.45762711864407,0.0285574057517266,46.43,27.02,46.43,27.02,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
BRKR,14.6,AVOID,29.2,29.2,91.52542372881356,3.711702856777066,92.86,29.2,92.86,29.2,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CABA,27.21,WATCH,54.42,54.42,94.91525423728814,46.20455387009173,96.43,54.42,96.43,54.42,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CADL,17.585,WATCH,35.17,35.17,54.23728813559322,13.764640907457364,53.57,35.17,53.57,35.17,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CAI,20.815,WATCH,41.63,41.63,64.40677966101694,24.64753305099218,64.29,41.63,64.29,41.63,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CAPR,25.095,WATCH,50.19,50.19,89.83050847457628,39.06229788484468,91.07,50.19,91.07,50.19,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CATX,40.83,BUY,81.66,81.66,88.13559322033898,92.085981143639,89.29,81.66,89.29,81.66,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CBIO,25.0,WATCH,50.0,50.0,,,,,50.0,50.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CCCC,6.075,AVOID,12.15,12.15,3.389830508474576,-25.03084509649568,0.0,12.15,0.0,12.15,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CDNA,15.915,WATCH,31.83,31.83,52.54237288135594,8.137005965579803,51.79,31.83,51.79,31.83,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CDXS,50.0,BUY,100.0,100.0,100.0,358.81413683638687,100.0,100.0,100.0,100.0,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CELC,26.61,WATCH,53.22,53.22,81.35593220338984,44.172908306426194,82.14,53.22,82.14,53.22,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
CGC,29.555,WATCH,59.11,59.11,23.728813559322035,54.10371062705492,21.43,59.11,21.43,59.11,0.0,0.0,2026-03-15,NB10-v2,Neutral,0.5
