ticker,price,prev_close,daily_chg_pct,ytd_pct,52w_high,52w_low,52w_high_pct,52w_low_pct,date
BNTX,89.25,89.3,-0.056,,,,,,2026-03-23
BRKR,34.81,33.32,4.4718,,,,,,2026-03-23
CABA,2.89,2.95,-2.0339,,,,,,2026-03-23
CADL,5.01,4.98,0.6024,,,,,,2026-03-23
CAI,19.41,18.41,5.4318,,,,,,2026-03-23
CAPR,28.63,29.14,-1.7502,,,,,,2026-03-23
CATX,4.22,4.445,-5.0619,,,,,,2026-03-23
CBIO,11.005,10.94,0.5941,,,,,,2026-03-23
CCCC,2.715,2.715,0.0,,,,,,2026-03-23
CDNA,17.74,17.16,3.38,,,,,,2026-03-23
CDXS,1.515,1.6,-5.3125,,,,,,2026-03-23
CELC,108.375,106.05,2.1924,,,,,,2026-03-23
CGC,0.9597,0.9441,1.6524,,,,,,2026-03-23
CGEM,12.79,12.76,0.2351,,,,,,2026-03-23
CGON,64.57,65.09,-0.7989,,,,,,2026-03-23
CHRS,1.605,1.52,5.5921,,,,,,2026-03-23
CLDX,32.9,30.9,6.4725,,,,,,2026-03-23
CLYM,6.52,6.11,6.7103,,,,,,2026-03-23
CMPS,5.38,5.4,-0.3704,,,,,,2026-03-23
CMPX,5.18,5.17,0.1934,,,,,,2026-03-23
CNTA,26.55,27.06,-1.8847,,,,,,2026-03-23
CNTN,3.43,3.32,3.3133,,,,,,2026-03-23
CNTX,3.01,2.88,4.5139,,,,,,2026-03-23
COGT,35.055,33.405,4.9394,-1.9029,43.55,3.725,-19.5063,841.0738,2026-03-23
COLL,35.54,35.48,0.1691,,49.97,23.29,-28.8773,52.5977,2026-03-23
CORT,34.29,34.66,-1.0675,,,,,,2026-03-23
CPRX,23.69,22.785,3.9719,,,,,,2026-03-23
CRBP,8.78,8.62,1.8561,,,,,,2026-03-23
CRBU,1.91,1.865,2.4129,,,,,,2026-03-23
CRDF,1.81,1.79,1.1173,,,,,,2026-03-23
CRL,157.42,153.51,2.5471,,,,,,2026-03-23
CRMD,6.355,6.28,1.1943,,,,,,2026-03-23
CRNX,34.73,35.58,-2.389,,,,,,2026-03-23
CRON,2.5,2.385,4.8218,,,,,,2026-03-23
CRSP,47.67,46.245,3.0814,,,,,,2026-03-23
CRVS,13.86,13.34,3.8981,,,,,,2026-03-23
CSTL,25.73,25.01,2.8788,,,,,,2026-03-23
CTKB,4.7,4.5,4.4444,,,,,,2026-03-23
CTMX,4.535,4.45,1.9101,,,,,,2026-03-23
CTNM,12.2,12.275,-0.611,,,,,,2026-03-23
CYRX,8.19,8.06,1.6129,,,,,,2026-03-23
CYTK,62.165,61.68,0.7863,,,,,,2026-03-23
DAWN,21.365,21.42,-0.2568,,,,,,2026-03-23
DBVT,19.71,19.06,3.4103,,,,,,2026-03-23
DFTX,18.59,18.42,0.9229,,,,,,2026-03-23
DMAC,7.33,6.78,8.1121,,,,,,2026-03-23
DNA,6.7,6.73,-0.4458,,,,,,2026-03-23
DNLI,21.165,20.21,4.7254,,,,,,2026-03-23
DNTH,78.68,77.82,1.1051,,,,,,2026-03-23
DRUG,75.62,71.34,5.9994,,,,,,2026-03-23
DSGN,10.16,10.28,-1.1673,,,,,,2026-03-23
DYN,17.8,17.57,1.309,,,,,,2026-03-23
EBS,8.07,8.18,-1.3447,,,,,,2026-03-23
EDIT,2.48,2.33,6.4378,,,,,,2026-03-23
EIKN,11.805,11.69,0.9837,,,,,,2026-03-23
ELAN,24.76,23.99,3.2097,,,,,,2026-03-23
ELDN,3.125,2.87,8.885,,,,,,2026-03-23
ELTX,11.2,10.83,3.4164,,,,,,2026-03-23
ELVN,30.5,29.0,5.1724,,,,,,2026-03-23
ENGN,7.405,7.245,2.2084,,,,,,2026-03-23
ENTA,12.885,12.495,3.1212,,,,,,2026-03-23
EOLS,4.695,4.65,0.9677,,,,,,2026-03-23
EPRX,7.42,7.115,4.2867,,,,,,2026-03-23
ERAS,14.81,14.605,1.4036,,,,,,2026-03-23
ESPR,2.67,2.555,4.501,,,,,,2026-03-23
ETON,23.605,22.28,5.947,,,,,,2026-03-23
EVMN,24.025,23.36,2.8467,,,,,,2026-03-23
EWTX,30.04,29.03,3.4792,,,,,,2026-03-23
EXAS,104.94,103.88,1.0204,,,,,,2026-03-23
EXEL,41.755,41.27,1.1752,,,,,,2026-03-23
FATE,1.195,1.11,7.6577,,,,,,2026-03-23
FBIO,3.075,3.03,1.4851,,,,,,2026-03-23
FBRX,24.07,22.77,5.7093,,,,,,2026-03-23
FDMT,9.04,8.63,4.7509,19.1041,12.33,2.245,-26.6829,302.6726,2026-03-23
FLGT,16.215,15.53,4.4108,,30.985,13.5,-47.6682,20.1111,2026-03-23
FOLD,14.395,14.41,-0.1041,,,,,,2026-03-23
FTRE,9.72,9.51,2.2082,,,,,,2026-03-23
FULC,6.95,6.81,2.0558,,,,,,2026-03-23
GANX,2.07,1.93,7.2539,,,,,,2026-03-23
GENB,12.62,12.27,2.8525,,,,,,2026-03-23
GERN,1.59,1.455,9.2784,,,,,,2026-03-23
GHRS,13.9,13.97,-0.5011,,,,,,2026-03-23
GILD,138.01,137.26,0.5464,,,,,,2026-03-23
GLPG,32.295,32.03,0.8273,,,,,,2026-03-23
GLSI,24.98,24.355,2.5662,,,,,,2026-03-23
GLTO,28.17,28.765,-2.0685,,,,,,2026-03-23
GLUE,15.27,15.66,-2.4904,,,,,,2026-03-23
GMAB,26.1,25.12,3.9013,,,,,,2026-03-23
GOSS,0.3798,0.4146,-8.3936,,,,,,2026-03-23
GPCR,51.1,48.555,5.2415,,,,,,2026-03-23
GRAL,50.4,46.875,7.52,,,,,,2026-03-23
GRFS,7.74,7.565,2.3133,,,,,,2026-03-23
